run_id,model_class_x,subsidy,dynamic_policy_x,time_to_50,peak_velocity,tipping_occurred
R3_DET_4000.0_False_watts_strogatz_46,DETERMINISTIC_EMPIRICAL_ABM,4000.0,False,1,491,1
R3_DET_4000.0_False_watts_strogatz_47,DETERMINISTIC_EMPIRICAL_ABM,4000.0,False,1,461,1
R3_DET_4000.0_False_watts_strogatz_48,DETERMINISTIC_EMPIRICAL_ABM,4000.0,False,1,469,1
R3_DET_4000.0_False_watts_strogatz_49,DETERMINISTIC_EMPIRICAL_ABM,4000.0,False,1,433,1
R3_DET_4000.0_False_watts_strogatz_50,DETERMINISTIC_EMPIRICAL_ABM,4000.0,False,1,411,1
R3_DET_4000.0_False_watts_strogatz_51,DETERMINISTIC_EMPIRICAL_ABM,4000.0,False,1,486,1
R3_DET_4000.0_True_barabasi_albert_42,DETERMINISTIC_EMPIRICAL_ABM,4000.0,True,1,478,1
R3_DET_4000.0_True_barabasi_albert_43,DETERMINISTIC_EMPIRICAL_ABM,4000.0,True,1,492,1
R3_DET_4000.0_True_barabasi_albert_44,DETERMINISTIC_EMPIRICAL_ABM,4000.0,True,3,173,1
R3_DET_4000.0_True_barabasi_albert_45,DETERMINISTIC_EMPIRICAL_ABM,4000.0,True,1,495,1
R3_DET_4000.0_True_barabasi_albert_46,DETERMINISTIC_EMPIRICAL_ABM,4000.0,True,1,495,1
R3_DET_4000.0_True_barabasi_albert_47,DETERMINISTIC_EMPIRICAL_ABM,4000.0,True,1,483,1
R3_DET_4000.0_True_barabasi_albert_48,DETERMINISTIC_EMPIRICAL_ABM,4000.0,True,1,492,1
R3_DET_4000.0_True_barabasi_albert_49,DETERMINISTIC_EMPIRICAL_ABM,4000.0,True,1,495,1
R3_DET_4000.0_True_barabasi_albert_50,DETERMINISTIC_EMPIRICAL_ABM,4000.0,True,1,485,1
R3_DET_4000.0_True_barabasi_albert_51,DETERMINISTIC_EMPIRICAL_ABM,4000.0,True,1,491,1
R3_DET_4000.0_True_watts_strogatz_42,DETERMINISTIC_EMPIRICAL_ABM,4000.0,True,1,428,1
R3_DET_4000.0_True_watts_strogatz_43,DETERMINISTIC_EMPIRICAL_ABM,4000.0,True,1,320,1
R3_DET_4000.0_True_watts_strogatz_44,DETERMINISTIC_EMPIRICAL_ABM,4000.0,True,1,415,1
R3_DET_4000.0_True_watts_strogatz_45,DETERMINISTIC_EMPIRICAL_ABM,4000.0,True,1,475,1
R3_DET_4000.0_True_watts_strogatz_46,DETERMINISTIC_EMPIRICAL_ABM,4000.0,True,1,491,1
R3_DET_4000.0_True_watts_strogatz_47,DETERMINISTIC_EMPIRICAL_ABM,4000.0,True,1,461,1
R3_DET_4000.0_True_watts_strogatz_48,DETERMINISTIC_EMPIRICAL_ABM,4000.0,True,1,469,1
R3_DET_4000.0_True_watts_strogatz_49,DETERMINISTIC_EMPIRICAL_ABM,4000.0,True,1,433,1
R3_DET_4000.0_True_watts_strogatz_50,DETERMINISTIC_EMPIRICAL_ABM,4000.0,True,1,411,1
R3_DET_4000.0_True_watts_strogatz_51,DETERMINISTIC_EMPIRICAL_ABM,4000.0,True,1,486,1
R3_DET_5000.0_False_barabasi_albert_42,DETERMINISTIC_EMPIRICAL_ABM,5000.0,False,1,495,1
R3_DET_5000.0_False_barabasi_albert_43,DETERMINISTIC_EMPIRICAL_ABM,5000.0,False,1,495,1
R3_DET_5000.0_False_barabasi_albert_44,DETERMINISTIC_EMPIRICAL_ABM,5000.0,False,1,495,1
R3_DET_5000.0_False_barabasi_albert_45,DETERMINISTIC_EMPIRICAL_ABM,5000.0,False,1,495,1
R3_DET_5000.0_False_barabasi_albert_46,DETERMINISTIC_EMPIRICAL_ABM,5000.0,False,1,495,1
R3_DET_5000.0_False_barabasi_albert_47,DETERMINISTIC_EMPIRICAL_ABM,5000.0,False,1,495,1
R3_DET_5000.0_False_barabasi_albert_48,DETERMINISTIC_EMPIRICAL_ABM,5000.0,False,1,495,1
R3_DET_5000.0_False_barabasi_albert_49,DETERMINISTIC_EMPIRICAL_ABM,5000.0,False,1,495,1
R3_DET_5000.0_False_barabasi_albert_50,DETERMINISTIC_EMPIRICAL_ABM,5000.0,False,1,495,1
R3_DET_5000.0_False_barabasi_albert_51,DETERMINISTIC_EMPIRICAL_ABM,5000.0,False,1,495,1
R3_DET_5000.0_False_watts_strogatz_42,DETERMINISTIC_EMPIRICAL_ABM,5000.0,False,1,495,1
R3_DET_5000.0_False_watts_strogatz_43,DETERMINISTIC_EMPIRICAL_ABM,5000.0,False,1,495,1
R3_DET_5000.0_False_watts_strogatz_44,DETERMINISTIC_EMPIRICAL_ABM,5000.0,False,1,495,1
R3_DET_5000.0_False_watts_strogatz_45,DETERMINISTIC_EMPIRICAL_ABM,5000.0,False,1,495,1
R3_DET_5000.0_False_watts_strogatz_46,DETERMINISTIC_EMPIRICAL_ABM,5000.0,False,1,495,1
R3_DET_5000.0_False_watts_strogatz_47,DETERMINISTIC_EMPIRICAL_ABM,5000.0,False,1,495,1
R3_DET_5000.0_False_watts_strogatz_48,DETERMINISTIC_EMPIRICAL_ABM,5000.0,False,1,495,1
R3_DET_5000.0_False_watts_strogatz_49,DETERMINISTIC_EMPIRICAL_ABM,5000.0,False,1,495,1
R3_DET_5000.0_False_watts_strogatz_50,DETERMINISTIC_EMPIRICAL_ABM,5000.0,False,1,495,1
R3_DET_5000.0_False_watts_strogatz_51,DETERMINISTIC_EMPIRICAL_ABM,5000.0,False,1,495,1
R3_DET_5000.0_True_barabasi_albert_42,DETERMINISTIC_EMPIRICAL_ABM,5000.0,True,1,495,1
R3_DET_5000.0_True_barabasi_albert_43,DETERMINISTIC_EMPIRICAL_ABM,5000.0,True,1,495,1
R3_DET_5000.0_True_barabasi_albert_44,DETERMINISTIC_EMPIRICAL_ABM,5000.0,True,1,495,1
R3_DET_5000.0_True_barabasi_albert_45,DETERMINISTIC_EMPIRICAL_ABM,5000.0,True,1,495,1
R3_DET_5000.0_True_barabasi_albert_46,DETERMINISTIC_EMPIRICAL_ABM,5000.0,True,1,495,1
R3_DET_5000.0_True_barabasi_albert_47,DETERMINISTIC_EMPIRICAL_ABM,5000.0,True,1,495,1
R3_DET_5000.0_True_barabasi_albert_48,DETERMINISTIC_EMPIRICAL_ABM,5000.0,True,1,495,1
R3_DET_5000.0_True_barabasi_albert_49,DETERMINISTIC_EMPIRICAL_ABM,5000.0,True,1,495,1
R3_DET_5000.0_True_barabasi_albert_50,DETERMINISTIC_EMPIRICAL_ABM,5000.0,True,1,495,1
R3_DET_5000.0_True_barabasi_albert_51,DETERMINISTIC_EMPIRICAL_ABM,5000.0,True,1,495,1
R3_DET_5000.0_True_watts_strogatz_42,DETERMINISTIC_EMPIRICAL_ABM,5000.0,True,1,495,1
R3_DET_5000.0_True_watts_strogatz_43,DETERMINISTIC_EMPIRICAL_ABM,5000.0,True,1,495,1
R3_DET_5000.0_True_watts_strogatz_44,DETERMINISTIC_EMPIRICAL_ABM,5000.0,True,1,495,1
R3_DET_5000.0_True_watts_strogatz_45,DETERMINISTIC_EMPIRICAL_ABM,5000.0,True,1,495,1
R3_DET_5000.0_True_watts_strogatz_46,DETERMINISTIC_EMPIRICAL_ABM,5000.0,True,1,495,1
R3_DET_5000.0_True_watts_strogatz_47,DETERMINISTIC_EMPIRICAL_ABM,5000.0,True,1,495,1
R3_DET_5000.0_True_watts_strogatz_48,DETERMINISTIC_EMPIRICAL_ABM,5000.0,True,1,495,1
R3_DET_5000.0_True_watts_strogatz_49,DETERMINISTIC_EMPIRICAL_ABM,5000.0,True,1,495,1
R3_DET_5000.0_True_watts_strogatz_50,DETERMINISTIC_EMPIRICAL_ABM,5000.0,True,1,495,1
R3_DET_5000.0_True_watts_strogatz_51,DETERMINISTIC_EMPIRICAL_ABM,5000.0,True,1,495,1
R3_STAT_1000.0_False_barabasi_albert_42,STATIC_BASELINE,1000.0,False,25,5,0
R3_STAT_1000.0_False_barabasi_albert_43,STATIC_BASELINE,1000.0,False,25,5,0
